density,bitrex,site_treatment,site_total,attacks,land_use,trail_type,Land Use Key,Code
low,no,1,1,no,MF,concrete,Buildings,BDG
low,no,2,2,,MF,concrete,Modified Forest,MF
low,no,3,3,,MF,concrete,Primary Forest,PF
low,no,4,4,,MF,concrete,Secondary Forest ,SF
low,no,5,5,,MF,concrete,,
low,no,6,6,,MF,concrete,,
low,no,7,7,,MF,concrete,,
low,no,8,8,,SF,concrete,,
low,no,9,9,,SF,concrete,,
low,no,10,10,,SF,concrete,,
low,no,11,11,,SF,concrete,,
low,no,12,12,,SF,concrete,,
low,no,13,13,no,SF,concrete,,
low,no,14,14,no,SF,concrete,,
low,no,15,15,,SF,concrete,,
low,no,16,16,,SF,concrete,,
low,no,17,17,,SF,concrete,,
low,no,18,18,no,MF,concrete,,
low,no,19,19,,PF,concrete,,
low,no,20,20,,BDG,concrete,,
low,no,21,21,no,MF,concrete,,
low,no,22,22,,MF,dirt,,
low,no,23,23,,MF,dirt,,
low,no,24,24,no,MF,dirt,,
low,no,25,25,,SF,dirt,,
high,no,1,26,,MF,concrete,,
high,no,2,27,,MF,concrete,,
high,no,3,28,,SF,concrete,,
high,no,4,29,,PF,concrete,,
high,no,5,30,,PF,concrete,,
high,no,6,31,,PF,concrete,,
high,no,7,32,,PF,dirt,,
high,no,8,33,,SF,dirt,,
high,no,9,34,,SF,dirt,,
high,no,10,35,,SF,dirt,,
high,no,11,36,,SF,dirt,,
high,no,12,37,,PF,dirt,,
high,no,13,38,,PF,dirt,,
high,no,14,39,,PF,concrete,,
high,no,15,40,,PF,concrete,,
high,no,16,41,,PF,dirt,,
high,no,17,42,,PF,dirt,,
high,no,18,43,,PF,dirt,,
high,no,19,44,,PF,concrete,,
high,no,20,45,,PF,dirt,,
high,no,21,46,,PF,dirt,,
high,no,22,47,,PF,dirt,,
high,no,23,48,,PF,dirt,,
high,no,24,49,,PF,dirt,,
high,no,25,50,,PF,dirt,,
low,yes,1,51,no,MF,concrete,,
low,yes,2,52,no,MF,concrete,,
low,yes,3,53,,MF,dirt,,
low,yes,4,54,,SF,dirt,,
low,yes,5,55,,PF,dirt,,
low,yes,6,56,,SF,dirt,,
low,yes,7,57,,SF,dirt,,
low,yes,8,58,,SF,dirt,,
low,yes,9,59,,PF,dirt,,
low,yes,10,60,,PF,dirt,,
low,yes,11,61,,PF,dirt,,
low,yes,12,62,no,PF,dirt,,
low,yes,13,63,,PF,dirt,,
low,yes,14,64,,SF,gravel_road,,
low,yes,15,65,,SF,gravel_road,,
low,yes,16,66,,SF,gravel_road,,
low,yes,17,67,no,BDG,gravel_road,,
low,yes,18,68,,PF,dirt,,
low,yes,19,69,,PF,dirt,,
low,yes,20,70,no,SF,gravel_road,,
low,yes,21,71,,SF,gravel_road,,
low,yes,22,72,,SF,gravel_road,,
low,yes,23,73,,SF,gravel_road,,
low,yes,24,74,,MF,gravel_road,,
low,yes,25,75,,MF,gravel_road,,
high,yes,1,76,,SF,dirt,,
high,yes,2,77,no,SF,dirt,,
high,yes,3,78,,SF,dirt,,
high,yes,4,79,,SF,dirt,,
high,yes,5,80,,MF,dirt,,
high,yes,6,81,no,MF,dirt,,
high,yes,7,82,,MF,dirt,,
high,yes,8,83,,MF,dirt,,
high,yes,9,84,,SF,dirt,,
high,yes,10,85,,SF,dirt,,
high,yes,11,86,,SF,dirt,,
high,yes,12,87,no,MF,dirt,,
high,yes,13,88,,SF,dirt,,
high,yes,14,89,,SF,dirt,,
high,yes,15,90,,SF,dirt,,
high,yes,16,91,,MF,dirt,,
high,yes,17,92,,PF,dirt,,
high,yes,18,93,,PF,dirt,,
high,yes,19,94,,PF,dirt,,
high,yes,20,95,,PF,dirt,,
high,yes,21,96,,SF,dirt,,
high,yes,22,97,,PF,dirt,,
high,yes,23,98,,PF,dirt,,
high,yes,24,99,,MF,dirt,,
high,yes,25,100,,SF,dirt,,
